	reads.in	reads.out
SRR19846914_1.fq.gz	17778	12818
SRR19846915_1.fq.gz	17748	11126
SRR19846916_1.fq.gz	34985	23053
SRR19846917_1.fq.gz	8323	5816
SRR19846918_1.fq.gz	23337	15842
SRR19846919_1.fq.gz	16164	9254
SRR19846920_1.fq.gz	7960	5810
SRR19846921_1.fq.gz	13091	8921
SRR19846922_1.fq.gz	18433	13027
SRR19846923_1.fq.gz	5825	4060
SRR19846924_1.fq.gz	8087	5450
SRR19846925_1.fq.gz	10435	7789
SRR19846926_1.fq.gz	32803	22262
SRR19846927_1.fq.gz	8860	5276
SRR19846928_1.fq.gz	15662	11507
SRR19846929_1.fq.gz	42906	27456
SRR19846930_1.fq.gz	9864	6439
SRR19846931_1.fq.gz	6783	4193
SRR19846932_1.fq.gz	19122	11805
SRR19846933_1.fq.gz	17568	10161
