	reads.in	reads.out
SRR23096793_1.fastq.gz	64475	51525
SRR23096794_1.fastq.gz	64987	52674
SRR23096795_1.fastq.gz	57393	46045
SRR23096796_1.fastq.gz	56266	44942
SRR23096797_1.fastq.gz	49413	40188
SRR23096798_1.fastq.gz	64789	51244
SRR23096799_1.fastq.gz	40165	18745
SRR23096800_1.fastq.gz	62470	50403
SRR23096801_1.fastq.gz	54033	43919
SRR23096802_1.fastq.gz	52175	39730
SRR23096803_1.fastq.gz	60138	48228
SRR23096804_1.fastq.gz	56872	45183
SRR23096805_1.fastq.gz	58181	45517
SRR23096806_1.fastq.gz	64213	52806
SRR23096807_1.fastq.gz	62074	48343
SRR23096808_1.fastq.gz	63931	51210
SRR23096809_1.fastq.gz	62777	49127
SRR23096810_1.fastq.gz	64182	50710
SRR23096811_1.fastq.gz	58955	47588
SRR23096812_1.fastq.gz	62698	51421
SRR23096813_1.fastq.gz	68767	54964
SRR23096814_1.fastq.gz	70312	56236
SRR23096815_1.fastq.gz	70447	57200
SRR23096816_1.fastq.gz	53576	44315
SRR23096817_1.fastq.gz	58471	45736
SRR23096818_1.fastq.gz	62382	51542
SRR23096819_1.fastq.gz	65518	53879
SRR23096820_1.fastq.gz	65605	53081
SRR23096821_1.fastq.gz	66916	55096
SRR23096822_1.fastq.gz	62450	51529
SRR23096823_1.fastq.gz	65109	54416
SRR23096824_1.fastq.gz	65268	54528
SRR23096825_1.fastq.gz	65551	48534
SRR23096826_1.fastq.gz	57154	42488
SRR23096827_1.fastq.gz	65490	51825
SRR23096828_1.fastq.gz	66915	51573
SRR23096829_1.fastq.gz	64892	52634
SRR23096830_1.fastq.gz	64453	52292
SRR23096831_1.fastq.gz	60138	50327
SRR23096832_1.fastq.gz	71679	59823
SRR23096833_1.fastq.gz	57634	47568
SRR23096834_1.fastq.gz	64477	53543
SRR23096835_1.fastq.gz	65497	52963
SRR23096836_1.fastq.gz	51237	39557
SRR23096837_1.fastq.gz	66861	56251
SRR23096838_1.fastq.gz	74059	60400
SRR23096839_1.fastq.gz	70790	59854
SRR23096840_1.fastq.gz	71764	57919
SRR23096841_1.fastq.gz	72624	57342
SRR23096842_1.fastq.gz	61926	50864
SRR23096843_1.fastq.gz	67029	55356
SRR23096844_1.fastq.gz	70244	58061
SRR23096845_1.fastq.gz	70171	56937
SRR23096846_1.fastq.gz	62920	48203
SRR23096847_1.fastq.gz	67153	53065
SRR23096848_1.fastq.gz	57076	47466
SRR23096849_1.fastq.gz	62580	52187
SRR23096850_1.fastq.gz	61929	50855
SRR23096851_1.fastq.gz	62378	50576
SRR23096852_1.fastq.gz	61959	51482
SRR23096853_1.fastq.gz	66889	55836
SRR23096854_1.fastq.gz	64017	53945
SRR23096855_1.fastq.gz	64149	53378
SRR23096856_1.fastq.gz	61145	51190
SRR23096857_1.fastq.gz	59091	49509
SRR23096858_1.fastq.gz	60865	49282
SRR23096859_1.fastq.gz	63162	51283
SRR23096860_1.fastq.gz	67966	56488
SRR23096861_1.fastq.gz	70480	56448
SRR23096862_1.fastq.gz	57843	47519
SRR23096863_1.fastq.gz	67608	56659
SRR23096864_1.fastq.gz	71121	57374
SRR23096865_1.fastq.gz	73870	60533
SRR23096866_1.fastq.gz	71463	58337
SRR23096867_1.fastq.gz	68673	54651
SRR23096868_1.fastq.gz	51273	42726
SRR23096869_1.fastq.gz	59306	49648
SRR23096870_1.fastq.gz	60763	50776
SRR23096871_1.fastq.gz	65747	54536
SRR23096872_1.fastq.gz	69606	54302
SRR23096873_1.fastq.gz	65102	52411
SRR23096874_1.fastq.gz	73332	58880
SRR23096875_1.fastq.gz	64244	52317
SRR23096876_1.fastq.gz	62836	50784
SRR23096877_1.fastq.gz	62622	49503
SRR23096878_1.fastq.gz	62328	51126
SRR23096879_1.fastq.gz	57310	46781
SRR23096880_1.fastq.gz	62483	50145
SRR23096881_1.fastq.gz	68645	57166
SRR23096882_1.fastq.gz	71140	57933
SRR23096883_1.fastq.gz	66707	55454
SRR23096884_1.fastq.gz	63071	51818
SRR23096885_1.fastq.gz	66565	55417
SRR23096886_1.fastq.gz	61239	51158
SRR23096887_1.fastq.gz	59202	49335
SRR23096888_1.fastq.gz	60920	51313
SRR23096889_1.fastq.gz	67575	56173
SRR23096890_1.fastq.gz	58499	46347
SRR23096891_1.fastq.gz	56725	45933
