	reads.in	reads.out
SRR15291910_1.fastq.gz	18810	15111
SRR15291911_1.fastq.gz	95431	76198
SRR15291912_1.fastq.gz	32021	25168
SRR15291913_1.fastq.gz	8775	6795
SRR15291914_1.fastq.gz	17972	14310
SRR15291915_1.fastq.gz	18041	14478
SRR15291916_1.fastq.gz	39164	29914
SRR15291917_1.fastq.gz	18301	14286
SRR15291918_1.fastq.gz	17098	13558
SRR15291919_1.fastq.gz	23665	18865
SRR15291920_1.fastq.gz	18238	14460
SRR15291921_1.fastq.gz	53065	41683
SRR15291922_1.fastq.gz	28640	22895
SRR15291923_1.fastq.gz	25870	20100
SRR15291924_1.fastq.gz	18007	14533
SRR15291925_1.fastq.gz	20098	16195
SRR15291926_1.fastq.gz	19593	15498
SRR15291927_1.fastq.gz	28570	22305
SRR15291928_1.fastq.gz	23288	17435
SRR15291929_1.fastq.gz	20285	16038
SRR15291930_1.fastq.gz	26254	20809
SRR15291931_1.fastq.gz	54941	43587
SRR15291932_1.fastq.gz	23461	18618
SRR15291933_1.fastq.gz	21447	9210
SRR15291934_1.fastq.gz	22966	18410
SRR15291935_1.fastq.gz	23539	18849
SRR15291936_1.fastq.gz	20189	15951
