	reads.in	reads.out
ERR3610705_1.fq.gz	125855	115104
ERR3610706_1.fq.gz	96370	88100
ERR3610707_1.fq.gz	165839	152061
ERR3610708_1.fq.gz	97064	89395
ERR3610709_1.fq.gz	119900	109785
ERR3610710_1.fq.gz	122967	113088
ERR3610711_1.fq.gz	139187	127652
ERR3610712_1.fq.gz	108904	101772
ERR3610713_1.fq.gz	100437	93009
ERR3610714_1.fq.gz	111462	102747
ERR3610715_1.fq.gz	99797	92556
ERR3610716_1.fq.gz	83449	76667
ERR3610717_1.fq.gz	115780	105862
ERR3610718_1.fq.gz	113859	105172
ERR3610719_1.fq.gz	174734	161496
ERR3610720_1.fq.gz	90289	83931
ERR3610721_1.fq.gz	104376	97621
ERR3610722_1.fq.gz	112911	104231
ERR3610723_1.fq.gz	127079	117241
ERR3610724_1.fq.gz	103716	97135
ERR3610725_1.fq.gz	108401	99745
ERR3610726_1.fq.gz	99857	89751
ERR3610727_1.fq.gz	88028	82075
ERR3610728_1.fq.gz	68297	62968
ERR3610729_1.fq.gz	121825	111552
ERR3610730_1.fq.gz	129603	119531
ERR3610731_1.fq.gz	117976	109794
ERR3610732_1.fq.gz	94586	80362
ERR3610733_1.fq.gz	122354	112990
ERR3610734_1.fq.gz	173032	158799
ERR3610735_1.fq.gz	115545	107643
ERR3610736_1.fq.gz	97474	90548
ERR3610737_1.fq.gz	118944	109523
ERR3610738_1.fq.gz	111646	103190
ERR3610739_1.fq.gz	114670	106176
ERR3610740_1.fq.gz	101297	93309
ERR3610741_1.fq.gz	115276	105394
ERR3610742_1.fq.gz	72480	67686
ERR3610743_1.fq.gz	64481	59590
ERR3610744_1.fq.gz	44206	40952
ERR3610745_1.fq.gz	67892	63212
ERR3610746_1.fq.gz	68713	63052
ERR3610747_1.fq.gz	48575	44356
ERR3610748_1.fq.gz	54311	50455
ERR3610749_1.fq.gz	59280	55041
ERR3610750_1.fq.gz	56539	52782
ERR3610751_1.fq.gz	88282	82316
ERR3610752_1.fq.gz	40861	37858
ERR3610753_1.fq.gz	47132	43302
ERR3610754_1.fq.gz	69404	64698
