	reads.in	reads.out
SRR6885556_1_trimmed.fastq.gz	163238	160128
SRR6885557_1_trimmed.fastq.gz	156822	153151
SRR6885558_1_trimmed.fastq.gz	102463	100436
SRR6885559_1_trimmed.fastq.gz	111453	107638
SRR6885560_1_trimmed.fastq.gz	68796	68270
SRR6885561_1_trimmed.fastq.gz	78136	75626
SRR6885562_1_trimmed.fastq.gz	93778	92657
SRR6885563_1_trimmed.fastq.gz	106232	105025
SRR6885564_1_trimmed.fastq.gz	29584	29291
SRR6885565_1_trimmed.fastq.gz	27827	27521
SRR6885566_1_trimmed.fastq.gz	111536	110251
SRR6885567_1_trimmed.fastq.gz	85656	84683
SRR6885568_1_trimmed.fastq.gz	27347	26996
SRR6885569_1_trimmed.fastq.gz	88639	82318
SRR6885570_1_trimmed.fastq.gz	94439	85439
SRR6885571_1_trimmed.fastq.gz	91010	85230
SRR6885572_1_trimmed.fastq.gz	19794	19566
SRR6885573_1_trimmed.fastq.gz	130545	124682
SRR6885574_1_trimmed.fastq.gz	95096	89230
SRR6885575_1_trimmed.fastq.gz	125325	118026
