	reads.in	reads.out
SRR21922134_1.fastq.gz	141882	133127
SRR21922135_1.fastq.gz	105763	99578
SRR21922136_1.fastq.gz	113297	106315
SRR21922137_1.fastq.gz	133257	122951
SRR21922138_1.fastq.gz	186526	175694
SRR21922139_1.fastq.gz	174949	164633
SRR21922140_1.fastq.gz	66026	62060
SRR21922141_1.fastq.gz	177306	166414
SRR21922142_1.fastq.gz	167299	157727
SRR21922143_1.fastq.gz	170921	161074
SRR21922144_1.fastq.gz	93935	88304
SRR21922145_1.fastq.gz	157684	148026
SRR21922146_1.fastq.gz	123245	115255
SRR21922147_1.fastq.gz	184786	172987
SRR21922148_1.fastq.gz	112726	106107
SRR21922149_1.fastq.gz	166427	156250
SRR21922150_1.fastq.gz	161931	144882
SRR21922151_1.fastq.gz	191205	178992
SRR21922152_1.fastq.gz	163872	153003
SRR21922153_1.fastq.gz	93895	88274
SRR21922154_1.fastq.gz	99558	93579
SRR21922155_1.fastq.gz	139459	130161
SRR21922156_1.fastq.gz	139526	130784
SRR21922157_1.fastq.gz	88204	82719
SRR21922158_1.fastq.gz	98932	92474
SRR21922159_1.fastq.gz	233708	218452
SRR21922160_1.fastq.gz	147843	138996
SRR21922161_1.fastq.gz	182171	170530
SRR21922162_1.fastq.gz	118068	110939
SRR21922163_1.fastq.gz	177400	166589
SRR21922164_1.fastq.gz	151157	140832
SRR21922165_1.fastq.gz	140941	132136
SRR21922166_1.fastq.gz	118816	111780
SRR21922167_1.fastq.gz	173401	162479
SRR21922168_1.fastq.gz	146440	134180
SRR21922169_1.fastq.gz	138048	130387
SRR21922170_1.fastq.gz	89482	83233
SRR21922171_1.fastq.gz	296280	278795
SRR21922172_1.fastq.gz	165421	156051
SRR21922173_1.fastq.gz	147723	138096
SRR21922174_1.fastq.gz	151804	141264
SRR21922175_1.fastq.gz	122457	115047
SRR21922176_1.fastq.gz	103587	97199
SRR21922177_1.fastq.gz	119762	112381
SRR21922178_1.fastq.gz	161087	151572
SRR21922179_1.fastq.gz	135796	125932
SRR21922180_1.fastq.gz	164127	153983
SRR21922181_1.fastq.gz	208452	194920
SRR21922182_1.fastq.gz	147562	136109
SRR21922183_1.fastq.gz	98225	91112
SRR21922184_1.fastq.gz	149911	140251
SRR21922185_1.fastq.gz	174737	163949
SRR21922186_1.fastq.gz	124570	115967
SRR21922187_1.fastq.gz	170395	158936
SRR21922188_1.fastq.gz	163399	153489
SRR21922189_1.fastq.gz	100268	94036
SRR21922190_1.fastq.gz	169661	155264
SRR21922191_1.fastq.gz	166259	156055
SRR21922192_1.fastq.gz	195826	183695
SRR21922193_1.fastq.gz	190421	178890
