	reads.in	reads.out
ERR1551211_1.fastq.gz	100461	48344
ERR1551212_1.fastq.gz	47078	22201
ERR1551213_1.fastq.gz	38486	18219
ERR1551214_1.fastq.gz	46678	23377
ERR1551215_1.fastq.gz	84989	43895
ERR1551216_1.fastq.gz	54991	25039
ERR1551217_1.fastq.gz	68295	30382
ERR1551218_1.fastq.gz	110528	51209
ERR1551219_1.fastq.gz	22701	11235
ERR1551220_1.fastq.gz	31358	14193
ERR1551221_1.fastq.gz	86974	44886
ERR1551222_1.fastq.gz	48930	25419
ERR1551223_1.fastq.gz	68651	34824
ERR1551224_1.fastq.gz	57528	28414
ERR1551225_1.fastq.gz	205071	112323
ERR1551226_1.fastq.gz	27312	12887
ERR1551227_1.fastq.gz	134312	69318
ERR1551228_1.fastq.gz	108167	53650
ERR1551229_1.fastq.gz	71462	31496
ERR1551230_1.fastq.gz	98573	41114
ERR1551231_1.fastq.gz	48276	26143
ERR1551232_1.fastq.gz	99766	46167
ERR1551233_1.fastq.gz	102416	47744
ERR1551234_1.fastq.gz	106885	54596
ERR1551235_1.fastq.gz	102394	52408
ERR1551236_1.fastq.gz	98349	52707
ERR1551237_1.fastq.gz	139983	70885
ERR1551238_1.fastq.gz	62377	32680
ERR1551239_1.fastq.gz	229339	122719
ERR1551240_1.fastq.gz	113166	55872
ERR1551241_1.fastq.gz	143441	75926
ERR1551242_1.fastq.gz	180868	93592
ERR1551243_1.fastq.gz	22968	12408
ERR1551244_1.fastq.gz	83741	41327
ERR1551245_1.fastq.gz	281418	141968
ERR1551246_1.fastq.gz	119413	56285
ERR1551247_1.fastq.gz	176960	79278
ERR1551248_1.fastq.gz	140271	61191
ERR1551249_1.fastq.gz	218990	97198
ERR1551250_1.fastq.gz	9365	3534
ERR1551251_1.fastq.gz	48959	22654
ERR1551252_1.fastq.gz	117134	45434
ERR1551253_1.fastq.gz	20169	8310
ERR1551254_1.fastq.gz	1859947	899465
ERR1551255_1.fastq.gz	2733	1083
ERR1551256_1.fastq.gz	60199	24669
ERR1551257_1.fastq.gz	20807	8497
ERR1551258_1.fastq.gz	70821	31717
ERR1551259_1.fastq.gz	118011	58262
ERR1551260_1.fastq.gz	70054	38548
ERR1551261_1.fastq.gz	88475	43873
ERR1551262_1.fastq.gz	102544	43644
ERR1551263_1.fastq.gz	182533	84305
ERR1551264_1.fastq.gz	94342	50751
ERR1551265_1.fastq.gz	66403	30812
ERR1551266_1.fastq.gz	168254	89201
ERR1551267_1.fastq.gz	49942	27742
ERR1551268_1.fastq.gz	103338	50077
ERR1551269_1.fastq.gz	6602	2879
ERR1551270_1.fastq.gz	93660	44880
ERR1551271_1.fastq.gz	119889	57244
ERR1551272_1.fastq.gz	105588	50982
ERR1551273_1.fastq.gz	110079	51317
ERR1551274_1.fastq.gz	109986	58504
ERR1551275_1.fastq.gz	94729	47600
ERR1551276_1.fastq.gz	159619	76701
ERR1551277_1.fastq.gz	114642	58582
ERR1551278_1.fastq.gz	136373	63601
ERR1551279_1.fastq.gz	59739	31910
ERR1551280_1.fastq.gz	96454	47470
ERR1551281_1.fastq.gz	137151	72191
ERR1551282_1.fastq.gz	164695	86625
ERR1551283_1.fastq.gz	132010	61419
ERR1551284_1.fastq.gz	90552	48056
ERR1551285_1.fastq.gz	103660	52853
ERR1551286_1.fastq.gz	79596	15927
ERR1551287_1.fastq.gz	104719	56516
ERR1551288_1.fastq.gz	135774	61102
ERR1551289_1.fastq.gz	92016	50342
ERR1551290_1.fastq.gz	108367	49216
ERR1551291_1.fastq.gz	69065	36348
ERR1551292_1.fastq.gz	68816	30432
ERR1551293_1.fastq.gz	126115	66399
ERR1551294_1.fastq.gz	222247	101528
ERR1551295_1.fastq.gz	104876	39948
ERR1551296_1.fastq.gz	60757	29188
ERR1551297_1.fastq.gz	143727	67531
ERR1551298_1.fastq.gz	105630	46335
ERR1551299_1.fastq.gz	116184	58864
ERR1551300_1.fastq.gz	93874	39512
ERR1551301_1.fastq.gz	160275	66946
ERR1551302_1.fastq.gz	104674	47740
ERR1551303_1.fastq.gz	34122	18590
ERR1551304_1.fastq.gz	97290	46608
ERR1551305_1.fastq.gz	170537	83982
ERR1551306_1.fastq.gz	669	46
